repo,general_user,triage,committer,maintainer
hiero-sdk-python,175,8,6,3
hiero-consensus-node,27,4,34,15
governance,18,0,38,0
hiero-sdk-js,48,2,2,3
hiero-sdk-cpp,46,1,1,3
hiero-website,41,2,3,2
hiero-improvement-proposals,22,0,19,3
solo,21,2,5,4
hiero-block-node,20,3,5,4
hiero-json-rpc-relay,22,2,1,6
hiero-mirror-node,14,0,7,3
hiero-cli,18,0,2,4
hiero-sdk-go,19,0,0,4
sdk-collaboration-hub,11,0,5,3
hiero-sdk-java,12,0,0,4
hiero-local-node,10,0,3,3
hiero-sdk-swift,13,0,0,2
hiero-consensus-specifications,10,0,0,4
homebrew-tools,8,0,1,4
hiero-sdk-tck,6,1,4,1
.github,9,0,0,3
hiero-solo-action,8,0,1,2
hiero-contracts,5,0,1,5
hiero-mirror-node-explorer,9,0,0,2
hiero-did-sdk-python,7,0,2,2
hiero-sdk-rust,8,0,1,1
hiero-did-sdk-js,6,0,1,3
tsc,4,0,0,5
hiero-gradle-conventions,4,0,0,4
hiero,8,0,0,0
identity-collaboration-hub,4,0,0,3
hiero-enterprise-java,3,0,3,1
heka-identity-platform,3,0,1,2
solo-docs,3,0,0,3
hiero-docs,4,0,0,2
awesome-contributions,5,0,0,0
hiero-hederium,4,0,0,0
hiero-ethereum-execution-spec-tests,2,0,0,0
tsc-eligibility-check,1,0,0,1
