repo,gfi,gfic,total
hiero-sdk-python,306.0,21.0,327.0
hiero-mirror-node,96.0,0.0,96.0
hiero-consensus-node,49.0,45.0,94.0
hiero-sdk-cpp,49.0,0.0,49.0
hiero-website,41.0,0.0,41.0
hiero-sdk-js,27.0,13.0,40.0
hiero-json-rpc-relay,30.0,8.0,38.0
hiero-sdk-java,10.0,8.0,18.0
hiero-docs,10.0,4.0,14.0
hiero-sdk-swift,11.0,0.0,11.0
hiero-block-node,8.0,3.0,11.0
hiero-solo-action,8.0,2.0,10.0
hiero-mirror-node-explorer,8.0,2.0,10.0
hiero-local-node,1.0,7.0,8.0
hiero-sdk-rust,0.0,5.0,5.0
solo,2.0,3.0,5.0
hiero-sdk-go,4.0,0.0,4.0
hiero-did-sdk-js,4.0,0.0,4.0
hiero-sdk-tck,2.0,1.0,3.0
.github,0.0,1.0,1.0
